id,name,family,ISO 639-3,latitude,longitude,legend
1,español,indoeuropean,es,4.62,-74.06,purple
2,resigaro,arawakan,rgr,-1.17,-71.61,yellow
3,bora,boran,boa,-2.00,-72.26,red
4,andoke,isolate (SAM),ano,-0.54,-72.09,royalblue
5,minika-witoto,witotoan,hto,-1.55,-73.11,gray10
6,muinane,boran,bmr,-0.87,-72.42,red3
7,okaina,witotoan,oca,-2.16,-72.14,gray30
8,nonuya,witotoan,noj,1.25,-72.50,gray50
9,murui-witoto,witotoan,huu,-1.14,-73.83,cyan3
10,nipode-witoto,witotoan,hux,-2.34,-70.96,darkcyan
11,mika-witoto,witotoan,,-1.63,-73.28,lightseagreen
12,yucuna,arawakan,ycn,-0.76,-71.00,gold
13,kokama,tupian,cod,-5.00,-74.50,lightgreen
14,makuna,tucanoan,myy,-0.33,-70.17,mediumblue
15,binika-witoto,witotoan,,-1.40,-72.78,turquoise
16,tikuna,tikuna-yuri,tca,-4.00,-70.50,orange
17,tucano,tucanoan,tuo,0.50,-69.17,deepskyblue
18,miraña,boran,,-1.32,-70.81,darkred
